facility_name,state,measure_name,excess_readmission_ratio,predicted_readmission_rate,expected_readmission_rate,number_of_readmissions,heart_failure,heart_attack,copd,pneumonia,cabg,hip_knee_replacement
MOUNTAINVIEW HOSPITAL,NV,READM-30-AMI-HRRP,1.0151,14.9320,14.7099,40,0,1,0,0,0,0
SUMMERLIN HOSPITAL MEDICAL CENTER,NV,READM-30-PN-HRRP,1.1711,19.4609,16.6180,104,0,0,0,1,0,0
SUMMERLIN HOSPITAL MEDICAL CENTER,NV,READM-30-HF-HRRP,1.0475,20.1539,19.2392,72,1,0,0,0,0,0
SUMMERLIN HOSPITAL MEDICAL CENTER,NV,READM-30-COPD-HRRP,0.9765,16.0237,16.4094,13,0,0,1,0,0,0
SUMMERLIN HOSPITAL MEDICAL CENTER,NV,READM-30-CABG-HRRP,1.0220,12.7022,12.4292,Too Few to Report,0,0,0,0,1,0
SUMMERLIN HOSPITAL MEDICAL CENTER,NV,READM-30-AMI-HRRP,1.1135,14.8338,13.3223,28,0,1,0,0,0,0
HARMON HOSPITAL,NV,READM-30-PN-HRRP,N/A,N/A,N/A,N/A,0,0,0,1,0,0
HARMON HOSPITAL,NV,READM-30-HF-HRRP,N/A,N/A,N/A,N/A,1,0,0,0,0,0
HARMON HOSPITAL,NV,READM-30-COPD-HRRP,N/A,N/A,N/A,N/A,0,0,1,0,0,0
HARMON HOSPITAL,NV,READM-30-CABG-HRRP,N/A,N/A,N/A,N/A,0,0,0,0,1,0
HARMON HOSPITAL,NV,READM-30-AMI-HRRP,N/A,N/A,N/A,N/A,0,1,0,0,0,0
SAINT ROSE DOMINICAN HOSPITALS - SIENA CAMPUS,NV,READM-30-PN-HRRP,1.1354,19.6012,17.2640,140,0,0,0,1,0,0
SAINT ROSE DOMINICAN HOSPITALS - SIENA CAMPUS,NV,READM-30-HF-HRRP,1.0788,22.2502,20.6252,155,1,0,0,0,0,0
SAINT ROSE DOMINICAN HOSPITALS - SIENA CAMPUS,NV,READM-30-COPD-HRRP,0.9938,18.1948,18.3082,28,0,0,1,0,0,0
SAINT ROSE DOMINICAN HOSPITALS - SIENA CAMPUS,NV,READM-30-CABG-HRRP,0.9143,9.7910,10.7092,Too Few to Report,0,0,0,0,1,0
SAINT ROSE DOMINICAN HOSPITALS - SIENA CAMPUS,NV,READM-30-AMI-HRRP,0.9896,14.1583,14.3065,39,0,1,0,0,0,0
SPRING VALLEY HOSPITAL MEDICAL CENTER,NV,READM-30-PN-HRRP,1.1094,18.9485,17.0799,69,0,0,0,1,0,0
SPRING VALLEY HOSPITAL MEDICAL CENTER,NV,READM-30-HF-HRRP,1.1331,22.7720,20.0980,76,1,0,0,0,0,0
SPRING VALLEY HOSPITAL MEDICAL CENTER,NV,READM-30-COPD-HRRP,1.0314,18.3085,17.7511,18,0,0,1,0,0,0
SPRING VALLEY HOSPITAL MEDICAL CENTER,NV,READM-30-CABG-HRRP,0.9949,12.5968,12.6615,Too Few to Report,0,0,0,0,1,0
SPRING VALLEY HOSPITAL MEDICAL CENTER,NV,READM-30-AMI-HRRP,1.0084,14.5162,14.3960,20,0,1,0,0,0,0
SOUTHERN HILLS HOSPITAL AND MEDICAL CENTER,NV,READM-30-PN-HRRP,1.0788,19.5715,18.1412,85,0,0,0,1,0,0
SOUTHERN HILLS HOSPITAL AND MEDICAL CENTER,NV,READM-30-HF-HRRP,0.9466,19.9026,21.0247,54,1,0,0,0,0,0
SOUTHERN HILLS HOSPITAL AND MEDICAL CENTER,NV,READM-30-COPD-HRRP,0.9846,19.2655,19.5676,15,0,0,1,0,0,0
SOUTHERN HILLS HOSPITAL AND MEDICAL CENTER,NV,READM-30-CABG-HRRP,N/A,N/A,N/A,N/A,0,0,0,0,1,0
SOUTHERN HILLS HOSPITAL AND MEDICAL CENTER,NV,READM-30-AMI-HRRP,0.9754,15.3968,15.7850,Too Few to Report,0,1,0,0,0,0
RENOWN SOUTH MEADOWS MEDICAL CENTER,NV,READM-30-PN-HRRP,0.9584,13.4744,14.0596,27,0,0,0,1,0,0
RENOWN SOUTH MEADOWS MEDICAL CENTER,NV,READM-30-HF-HRRP,0.9553,16.5186,17.2922,22,1,0,0,0,0,0
RENOWN SOUTH MEADOWS MEDICAL CENTER,NV,READM-30-COPD-HRRP,1.0034,15.9136,15.8595,Too Few to Report,0,0,1,0,0,0
RENOWN SOUTH MEADOWS MEDICAL CENTER,NV,READM-30-CABG-HRRP,N/A,N/A,N/A,N/A,0,0,0,0,1,0
RENOWN SOUTH MEADOWS MEDICAL CENTER,NV,READM-30-AMI-HRRP,N/A,N/A,N/A,N/A,0,1,0,0,0,0
SAINT ROSE DOMINICAN HOSPITALS - SAN MARTIN CAMPUS,NV,READM-30-PN-HRRP,1.0320,17.1934,16.6611,30,0,0,0,1,0,0
SAINT ROSE DOMINICAN HOSPITALS - SAN MARTIN CAMPUS,NV,READM-30-HF-HRRP,1.0116,20.6596,20.4236,44,1,0,0,0,0,0
SAINT ROSE DOMINICAN HOSPITALS - SAN MARTIN CAMPUS,NV,READM-30-COPD-HRRP,0.9947,19.0389,19.1406,Too Few to Report,0,0,1,0,0,0
SAINT ROSE DOMINICAN HOSPITALS - SAN MARTIN CAMPUS,NV,READM-30-CABG-HRRP,1.1036,12.9583,11.7415,11,0,0,0,0,1,0
SAINT ROSE DOMINICAN HOSPITALS - SAN MARTIN CAMPUS,NV,READM-30-AMI-HRRP,1.0094,14.5284,14.3925,Too Few to Report,0,1,0,0,0,0
CENTENNIAL HILLS HOSPITAL MEDICAL CENTER,NV,READM-30-PN-HRRP,1.1385,18.4032,16.1641,70,0,0,0,1,0,0
CENTENNIAL HILLS HOSPITAL MEDICAL CENTER,NV,READM-30-HF-HRRP,1.0655,21.3010,19.9917,71,1,0,0,0,0,0
CENTENNIAL HILLS HOSPITAL MEDICAL CENTER,NV,READM-30-COPD-HRRP,0.9825,17.8409,18.1594,23,0,0,1,0,0,0
CENTENNIAL HILLS HOSPITAL MEDICAL CENTER,NV,READM-30-CABG-HRRP,N/A,N/A,N/A,N/A,0,0,0,0,1,0
CENTENNIAL HILLS HOSPITAL MEDICAL CENTER,NV,READM-30-AMI-HRRP,0.9848,14.1340,14.3528,Too Few to Report,0,1,0,0,0,0
HENDERSON HOSPITAL,NV,READM-30-PN-HRRP,0.9914,15.8612,15.9984,70,0,0,0,1,0,0
HENDERSON HOSPITAL,NV,READM-30-HF-HRRP,1.0549,20.8891,19.8029,74,1,0,0,0,0,0
HENDERSON HOSPITAL,NV,READM-30-COPD-HRRP,1.0714,17.3566,16.1998,25,0,0,1,0,0,0
HENDERSON HOSPITAL,NV,READM-30-CABG-HRRP,N/A,N/A,N/A,N/A,0,0,0,0,1,0
HENDERSON HOSPITAL,NV,READM-30-AMI-HRRP,1.0399,14.7945,14.2266,13,0,1,0,0,0,0
SAINT ROSE DOMINICAN HOSPITALS - NORTH LAS VEGAS,NV,READM-30-PN-HRRP,1.0331,11.4064,11.0408,Too Few to Report,0,0,0,1,0,0
SAINT ROSE DOMINICAN HOSPITALS - NORTH LAS VEGAS,NV,READM-30-HF-HRRP,N/A,N/A,N/A,N/A,1,0,0,0,0,0
SAINT ROSE DOMINICAN HOSPITALS - NORTH LAS VEGAS,NV,READM-30-COPD-HRRP,N/A,N/A,N/A,N/A,0,0,1,0,0,0
SAINT ROSE DOMINICAN HOSPITALS - NORTH LAS VEGAS,NV,READM-30-CABG-HRRP,N/A,N/A,N/A,N/A,0,0,0,0,1,0
SAINT ROSE DOMINICAN HOSPITALS - NORTH LAS VEGAS,NV,READM-30-AMI-HRRP,N/A,N/A,N/A,N/A,0,1,0,0,0,0
NORTHERN NEVADA SIERRA MEDICAL CENTER,NV,READM-30-PN-HRRP,1.0651,15.3111,14.3748,Too Few to Report,0,0,0,1,0,0
NORTHERN NEVADA SIERRA MEDICAL CENTER,NV,READM-30-HF-HRRP,1.0363,21.5664,20.8116,Too Few to Report,1,0,0,0,0,0
NORTHERN NEVADA SIERRA MEDICAL CENTER,NV,READM-30-COPD-HRRP,N/A,N/A,N/A,N/A,0,0,1,0,0,0
NORTHERN NEVADA SIERRA MEDICAL CENTER,NV,READM-30-CABG-HRRP,N/A,N/A,N/A,N/A,0,0,0,0,1,0
NORTHERN NEVADA SIERRA MEDICAL CENTER,NV,READM-30-AMI-HRRP,N/A,N/A,N/A,N/A,0,1,0,0,0,0
CONCORD HOSPITAL,NH,READM-30-PN-HRRP,0.9653,14.6884,15.2167,52,0,0,0,1,0,0
CONCORD HOSPITAL,NH,READM-30-HF-HRRP,1.1043,20.5985,18.6522,104,1,0,0,0,0,0
CONCORD HOSPITAL,NH,READM-30-COPD-HRRP,0.9672,16.2989,16.8515,28,0,0,1,0,0,0
CONCORD HOSPITAL,NH,READM-30-CABG-HRRP,1.0094,9.6374,9.5478,11,0,0,0,0,1,0
CONCORD HOSPITAL,NH,READM-30-AMI-HRRP,0.9502,10.3421,10.8842,35,0,1,0,0,0,0
MARY HITCHCOCK MEMORIAL HOSPITAL,NH,READM-30-PN-HRRP,0.9991,16.0493,16.0638,46,0,0,0,1,0,0
MARY HITCHCOCK MEMORIAL HOSPITAL,NH,READM-30-HF-HRRP,0.9155,17.8995,19.5527,117,1,0,0,0,0,0
MARY HITCHCOCK MEMORIAL HOSPITAL,NH,READM-30-COPD-HRRP,0.9509,18.7489,19.7172,Too Few to Report,0,0,1,0,0,0
MARY HITCHCOCK MEMORIAL HOSPITAL,NH,READM-30-CABG-HRRP,1.0208,10.6310,10.4147,23,0,0,0,0,1,0
MARY HITCHCOCK MEMORIAL HOSPITAL,NH,READM-30-AMI-HRRP,0.9078,10.6683,11.7513,67,0,1,0,0,0,0
CONCORD HOSPITAL- LACONIA,NH,READM-30-PN-HRRP,0.9944,16.0079,16.0983,39,0,0,0,1,0,0
CONCORD HOSPITAL- LACONIA,NH,READM-30-HF-HRRP,0.9908,18.6531,18.8272,43,1,0,0,0,0,0
CONCORD HOSPITAL- LACONIA,NH,READM-30-COPD-HRRP,0.9869,17.3573,17.5877,11,0,0,1,0,0,0
CONCORD HOSPITAL- LACONIA,NH,READM-30-CABG-HRRP,N/A,N/A,N/A,N/A,0,0,0,0,1,0
CONCORD HOSPITAL- LACONIA,NH,READM-30-AMI-HRRP,N/A,N/A,N/A,N/A,0,1,0,0,0,0
ST JOSEPH HOSPITAL,NH,READM-30-PN-HRRP,0.9499,14.4806,15.2437,38,0,0,0,1,0,0
ST JOSEPH HOSPITAL,NH,READM-30-HF-HRRP,0.9725,18.4804,19.0039,62,1,0,0,0,0,0
ST JOSEPH HOSPITAL,NH,READM-30-COPD-HRRP,0.9520,16.5103,17.3428,15,0,0,1,0,0,0
ST JOSEPH HOSPITAL,NH,READM-30-CABG-HRRP,N/A,N/A,N/A,N/A,0,0,0,0,1,0
ST JOSEPH HOSPITAL,NH,READM-30-AMI-HRRP,1.0701,14.4592,13.5126,16,0,1,0,0,0,0
ELLIOT HOSPITAL,NH,READM-30-PN-HRRP,1.0347,15.4649,14.9462,70,0,0,0,1,0,0
ELLIOT HOSPITAL,NH,READM-30-HF-HRRP,1.0736,20.5775,19.1666,97,1,0,0,0,0,0
ELLIOT HOSPITAL,NH,READM-30-COPD-HRRP,0.9687,16.6067,17.1439,23,0,0,1,0,0,0
ELLIOT HOSPITAL,NH,READM-30-CABG-HRRP,N/A,N/A,N/A,N/A,0,0,0,0,1,0
ELLIOT HOSPITAL,NH,READM-30-AMI-HRRP,0.9870,13.2288,13.4034,13,0,1,0,0,0,0
FRISBIE MEMORIAL HOSPITAL,NH,READM-30-PN-HRRP,1.0870,14.8825,13.6908,22,0,0,0,1,0,0
FRISBIE MEMORIAL HOSPITAL,NH,READM-30-HF-HRRP,1.0055,17.0466,16.9534,21,1,0,0,0,0,0
FRISBIE MEMORIAL HOSPITAL,NH,READM-30-COPD-HRRP,1.0366,15.4869,14.9394,Too Few to Report,0,0,1,0,0,0
FRISBIE MEMORIAL HOSPITAL,NH,READM-30-CABG-HRRP,N/A,N/A,N/A,N/A,0,0,0,0,1,0
FRISBIE MEMORIAL HOSPITAL,NH,READM-30-AMI-HRRP,N/A,N/A,N/A,N/A,0,1,0,0,0,0
PARKLAND MEDICAL CENTER,NH,READM-30-PN-HRRP,1.0388,16.6380,16.0165,46,0,0,0,1,0,0
PARKLAND MEDICAL CENTER,NH,READM-30-HF-HRRP,1.0100,20.2971,20.0969,62,1,0,0,0,0,0
PARKLAND MEDICAL CENTER,NH,READM-30-COPD-HRRP,1.0369,15.7667,15.2055,13,0,0,1,0,0,0
PARKLAND MEDICAL CENTER,NH,READM-30-CABG-HRRP,N/A,N/A,N/A,N/A,0,0,0,0,1,0
PARKLAND MEDICAL CENTER,NH,READM-30-AMI-HRRP,1.0107,14.7804,14.6243,15,0,1,0,0,0,0
WENTWORTH-DOUGLASS HOSPITAL,NH,READM-30-PN-HRRP,1.0545,16.3765,15.5300,74,0,0,0,1,0,0
WENTWORTH-DOUGLASS HOSPITAL,NH,READM-30-HF-HRRP,1.0377,19.3373,18.6353,107,1,0,0,0,0,0
WENTWORTH-DOUGLASS HOSPITAL,NH,READM-30-COPD-HRRP,0.8822,14.3244,16.2378,15,0,0,1,0,0,0
WENTWORTH-DOUGLASS HOSPITAL,NH,READM-30-CABG-HRRP,N/A,N/A,N/A,N/A,0,0,0,0,1,0
WENTWORTH-DOUGLASS HOSPITAL,NH,READM-30-AMI-HRRP,1.0847,14.0464,12.9502,22,0,1,0,0,0,0
CHESHIRE MEDICAL CENTER,NH,READM-30-PN-HRRP,0.9861,15.2466,15.4622,32,0,0,0,1,0,0
CHESHIRE MEDICAL CENTER,NH,READM-30-HF-HRRP,0.9472,18.8084,19.8565,53,1,0,0,0,0,0
CHESHIRE MEDICAL CENTER,NH,READM-30-COPD-HRRP,0.9101,17.6659,19.4113,Too Few to Report,0,0,1,0,0,0
CHESHIRE MEDICAL CENTER,NH,READM-30-CABG-HRRP,N/A,N/A,N/A,N/A,0,0,0,0,1,0
CHESHIRE MEDICAL CENTER,NH,READM-30-AMI-HRRP,0.9443,16.3397,17.3031,Too Few to Report,0,1,0,0,0,0
SOUTHERN NH MEDICAL CENTER,NH,READM-30-PN-HRRP,0.9647,14.3518,14.8773,49,0,0,0,1,0,0
SOUTHERN NH MEDICAL CENTER,NH,READM-30-HF-HRRP,0.9445,17.4701,18.4966,67,1,0,0,0,0,0
SOUTHERN NH MEDICAL CENTER,NH,READM-30-COPD-HRRP,1.0610,16.6273,15.6712,20,0,0,1,0,0,0
SOUTHERN NH MEDICAL CENTER,NH,READM-30-CABG-HRRP,N/A,N/A,N/A,N/A,0,0,0,0,1,0
SOUTHERN NH MEDICAL CENTER,NH,READM-30-AMI-HRRP,1.1074,13.2157,11.9343,18,0,1,0,0,0,0
EXETER HOSPITAL INC,NH,READM-30-PN-HRRP,0.9323,13.6679,14.6602,39,0,0,0,1,0,0
EXETER HOSPITAL INC,NH,READM-30-HF-HRRP,0.9264,16.1657,17.4501,54,1,0,0,0,0,0
EXETER HOSPITAL INC,NH,READM-30-COPD-HRRP,1.0165,17.7110,17.4243,21,0,0,1,0,0,0
EXETER HOSPITAL INC,NH,READM-30-CABG-HRRP,N/A,N/A,N/A,N/A,0,0,0,0,1,0
EXETER HOSPITAL INC,NH,READM-30-AMI-HRRP,0.9034,10.4554,11.5738,Too Few to Report,0,1,0,0,0,0
PORTSMOUTH REGIONAL HOSPITAL,NH,READM-30-PN-HRRP,1.0204,16.0005,15.6809,42,0,0,0,1,0,0
PORTSMOUTH REGIONAL HOSPITAL,NH,READM-30-HF-HRRP,1.0786,21.1378,19.5982,84,1,0,0,0,0,0
PORTSMOUTH REGIONAL HOSPITAL,NH,READM-30-COPD-HRRP,1.0290,17.7957,17.2945,19,0,0,1,0,0,0
PORTSMOUTH REGIONAL HOSPITAL,NH,READM-30-CABG-HRRP,1.0200,11.4093,11.1858,18,0,0,0,0,1,0
PORTSMOUTH REGIONAL HOSPITAL,NH,READM-30-AMI-HRRP,0.9775,12.5599,12.8488,40,0,1,0,0,0,0
CATHOLIC MEDICAL CENTER,NH,READM-30-PN-HRRP,0.9852,15.2640,15.4935,48,0,0,0,1,0,0
CATHOLIC MEDICAL CENTER,NH,READM-30-HF-HRRP,0.9132,17.6887,19.3693,166,1,0,0,0,0,0
CATHOLIC MEDICAL CENTER,NH,READM-30-COPD-HRRP,0.9951,17.8655,17.9531,29,0,0,1,0,0,0
CATHOLIC MEDICAL CENTER,NH,READM-30-CABG-HRRP,1.1727,12.3254,10.5104,34,0,0,0,0,1,0
CATHOLIC MEDICAL CENTER,NH,READM-30-AMI-HRRP,0.9154,11.2298,12.2673,58,0,1,0,0,0,0
HACKENSACK UNIVERSITY MEDICAL CENTER,NJ,READM-30-PN-HRRP,1.0084,20.1859,20.0187,196,0,0,0,1,0,0
HACKENSACK UNIVERSITY MEDICAL CENTER,NJ,READM-30-HF-HRRP,0.9750,21.2079,21.7523,220,1,0,0,0,0,0
HACKENSACK UNIVERSITY MEDICAL CENTER,NJ,READM-30-COPD-HRRP,0.9164,19.9151,21.7319,35,0,0,1,0,0,0
HACKENSACK UNIVERSITY MEDICAL CENTER,NJ,READM-30-CABG-HRRP,0.8432,9.8686,11.7031,20,0,0,0,0,1,0
HACKENSACK UNIVERSITY MEDICAL CENTER,NJ,READM-30-AMI-HRRP,0.9101,14.4663,15.8950,68,0,1,0,0,0,0
NEWARK BETH ISRAEL MEDICAL CENTER,NJ,READM-30-PN-HRRP,1.0535,19.4904,18.5015,22,0,0,0,1,0,0
NEWARK BETH ISRAEL MEDICAL CENTER,NJ,READM-30-HF-HRRP,1.0345,22.3036,21.5601,58,1,0,0,0,0,0
NEWARK BETH ISRAEL MEDICAL CENTER,NJ,READM-30-COPD-HRRP,0.9337,15.0777,16.1481,Too Few to Report,0,0,1,0,0,0
NEWARK BETH ISRAEL MEDICAL CENTER,NJ,READM-30-CABG-HRRP,1.0876,12.9224,11.8810,Too Few to Report,0,0,0,0,1,0
NEWARK BETH ISRAEL MEDICAL CENTER,NJ,READM-30-AMI-HRRP,1.0387,15.6826,15.0986,16,0,1,0,0,0,0
PALISADES MEDICAL CENTER,NJ,READM-30-PN-HRRP,1.0298,17.5496,17.0416,51,0,0,0,1,0,0
PALISADES MEDICAL CENTER,NJ,READM-30-HF-HRRP,1.0465,20.7115,19.7913,49,1,0,0,0,0,0
PALISADES MEDICAL CENTER,NJ,READM-30-COPD-HRRP,1.0129,21.2708,20.9989,17,0,0,1,0,0,0
PALISADES MEDICAL CENTER,NJ,READM-30-CABG-HRRP,N/A,N/A,N/A,N/A,0,0,0,0,1,0
PALISADES MEDICAL CENTER,NJ,READM-30-AMI-HRRP,1.0534,19.0273,18.0619,Too Few to Report,0,1,0,0,0,0
HUNTERDON MEDICAL CENTER,NJ,READM-30-PN-HRRP,1.1537,18.8305,16.3213,79,0,0,0,1,0,0
HUNTERDON MEDICAL CENTER,NJ,READM-30-HF-HRRP,1.0262,20.1930,19.6775,82,1,0,0,0,0,0
HUNTERDON MEDICAL CENTER,NJ,READM-30-COPD-HRRP,1.0095,18.3163,18.1437,20,0,0,1,0,0,0
HUNTERDON MEDICAL CENTER,NJ,READM-30-CABG-HRRP,N/A,N/A,N/A,N/A,0,0,0,0,1,0
HUNTERDON MEDICAL CENTER,NJ,READM-30-AMI-HRRP,1.0015,13.1640,13.1439,11,0,1,0,0,0,0
ST MARY'S GENERAL HOSPITAL,NJ,READM-30-PN-HRRP,1.0645,17.7315,16.6578,30,0,0,0,1,0,0
ST MARY'S GENERAL HOSPITAL,NJ,READM-30-HF-HRRP,1.1096,21.3738,19.2632,57,1,0,0,0,0,0
ST MARY'S GENERAL HOSPITAL,NJ,READM-30-COPD-HRRP,1.0467,15.2370,14.5569,Too Few to Report,0,0,1,0,0,0
ST MARY'S GENERAL HOSPITAL,NJ,READM-30-CABG-HRRP,N/A,N/A,N/A,N/A,0,0,0,0,1,0
ST MARY'S GENERAL HOSPITAL,NJ,READM-30-AMI-HRRP,0.9500,14.3523,15.1082,Too Few to Report,0,1,0,0,0,0
HOLY NAME MEDICAL CENTER,NJ,READM-30-PN-HRRP,0.9991,15.9121,15.9265,83,0,0,0,1,0,0
HOLY NAME MEDICAL CENTER,NJ,READM-30-HF-HRRP,0.9812,19.2295,19.5981,105,1,0,0,0,0,0
HOLY NAME MEDICAL CENTER,NJ,READM-30-COPD-HRRP,0.9238,16.5082,17.8691,17,0,0,1,0,0,0
HOLY NAME MEDICAL CENTER,NJ,READM-30-CABG-HRRP,N/A,N/A,N/A,N/A,0,0,0,0,1,0
HOLY NAME MEDICAL CENTER,NJ,READM-30-AMI-HRRP,0.9433,14.1533,15.0034,14,0,1,0,0,0,0
CLARA MAASS MEDICAL CENTER,NJ,READM-30-PN-HRRP,0.9676,16.6414,17.1992,34,0,0,0,1,0,0
CLARA MAASS MEDICAL CENTER,NJ,READM-30-HF-HRRP,0.9982,20.0885,20.1244,74,1,0,0,0,0,0
CLARA MAASS MEDICAL CENTER,NJ,READM-30-COPD-HRRP,0.9611,17.0057,17.6934,18,0,0,1,0,0,0
CLARA MAASS MEDICAL CENTER,NJ,READM-30-CABG-HRRP,N/A,N/A,N/A,N/A,0,0,0,0,1,0
CLARA MAASS MEDICAL CENTER,NJ,READM-30-AMI-HRRP,0.9898,15.7171,15.8786,16,0,1,0,0,0,0
UNIVERSITY MEDICAL CENTER OF PRINCETON AT PLAINSBORO,NJ,READM-30-PN-HRRP,0.9835,14.2272,14.4658,44,0,0,0,1,0,0
UNIVERSITY MEDICAL CENTER OF PRINCETON AT PLAINSBORO,NJ,READM-30-HF-HRRP,1.0939,19.5797,17.8983,139,1,0,0,0,0,0
UNIVERSITY MEDICAL CENTER OF PRINCETON AT PLAINSBORO,NJ,READM-30-COPD-HRRP,1.0611,19.2515,18.1437,31,0,0,1,0,0,0
UNIVERSITY MEDICAL CENTER OF PRINCETON AT PLAINSBORO,NJ,READM-30-CABG-HRRP,N/A,N/A,N/A,N/A,0,0,0,0,1,0
UNIVERSITY MEDICAL CENTER OF PRINCETON AT PLAINSBORO,NJ,READM-30-AMI-HRRP,1.0819,14.0839,13.0171,18,0,1,0,0,0,0
CAPE REGIONAL MEDICAL CENTER INC,NJ,READM-30-PN-HRRP,1.0578,15.9135,15.0440,62,0,0,0,1,0,0
CAPE REGIONAL MEDICAL CENTER INC,NJ,READM-30-HF-HRRP,1.1027,19.9857,18.1237,94,1,0,0,0,0,0
CAPE REGIONAL MEDICAL CENTER INC,NJ,READM-30-COPD-HRRP,1.0678,18.3787,17.2111,50,0,0,1,0,0,0
CAPE REGIONAL MEDICAL CENTER INC,NJ,READM-30-CABG-HRRP,N/A,N/A,N/A,N/A,0,0,0,0,1,0
CAPE REGIONAL MEDICAL CENTER INC,NJ,READM-30-AMI-HRRP,0.9791,13.7898,14.0834,Too Few to Report,0,1,0,0,0,0
VALLEY HOSPITAL,NJ,READM-30-PN-HRRP,0.9068,14.7281,16.2410,79,0,0,0,1,0,0
VALLEY HOSPITAL,NJ,READM-30-HF-HRRP,0.9168,18.2754,19.9330,237,1,0,0,0,0,0
VALLEY HOSPITAL,NJ,READM-30-COPD-HRRP,0.9674,18.2926,18.9098,36,0,0,1,0,0,0
VALLEY HOSPITAL,NJ,READM-30-CABG-HRRP,0.9508,9.3886,9.8746,Too Few to Report,0,0,0,0,1,0
VALLEY HOSPITAL,NJ,READM-30-AMI-HRRP,1.0137,13.8691,13.6812,51,0,1,0,0,0,0
COOPER UNIVERSITY HOSPITAL,NJ,READM-30-PN-HRRP,1.0021,16.9902,16.9540,45,0,0,0,1,0,0
COOPER UNIVERSITY HOSPITAL,NJ,READM-30-HF-HRRP,1.1331,22.3540,19.7283,129,1,0,0,0,0,0
COOPER UNIVERSITY HOSPITAL,NJ,READM-30-COPD-HRRP,1.0632,19.1557,18.0179,26,0,0,1,0,0,0
COOPER UNIVERSITY HOSPITAL,NJ,READM-30-CABG-HRRP,0.9868,10.6437,10.7866,25,0,0,0,0,1,0
COOPER UNIVERSITY HOSPITAL,NJ,READM-30-AMI-HRRP,1.0190,14.6910,14.4166,66,0,1,0,0,0,0
MORRISTOWN MEDICAL CENTER,NJ,READM-30-PN-HRRP,0.9711,16.7329,17.2308,171,0,0,0,1,0,0
MORRISTOWN MEDICAL CENTER,NJ,READM-30-HF-HRRP,0.8382,16.5574,19.7546,290,1,0,0,0,0,0
MORRISTOWN MEDICAL CENTER,NJ,READM-30-COPD-HRRP,1.0266,18.7922,18.3044,55,0,0,1,0,0,0
MORRISTOWN MEDICAL CENTER,NJ,READM-30-CABG-HRRP,0.8941,10.4713,11.7117,45,0,0,0,0,1,0
MORRISTOWN MEDICAL CENTER,NJ,READM-30-AMI-HRRP,0.8330,11.4083,13.6961,74,0,1,0,0,0,0
CAREPOINT HEALTH-CHRIST HOSPITAL,NJ,READM-30-PN-HRRP,1.0286,18.8795,18.3545,15,0,0,0,1,0,0
CAREPOINT HEALTH-CHRIST HOSPITAL,NJ,READM-30-HF-HRRP,1.0458,23.1814,22.1654,23,1,0,0,0,0,0
CAREPOINT HEALTH-CHRIST HOSPITAL,NJ,READM-30-COPD-HRRP,0.9967,23.2239,23.3004,Too Few to Report,0,0,1,0,0,0
CAREPOINT HEALTH-CHRIST HOSPITAL,NJ,READM-30-CABG-HRRP,N/A,N/A,N/A,N/A,0,0,0,0,1,0
CAREPOINT HEALTH-CHRIST HOSPITAL,NJ,READM-30-AMI-HRRP,1.0254,19.4520,18.9701,12,0,1,0,0,0,0
CHILTON MEDICAL CENTER,NJ,READM-30-PN-HRRP,0.8598,13.4812,15.6788,57,0,0,0,1,0,0
CHILTON MEDICAL CENTER,NJ,READM-30-HF-HRRP,0.8794,16.8092,19.1140,70,1,0,0,0,0,0
CHILTON MEDICAL CENTER,NJ,READM-30-COPD-HRRP,0.9726,17.6829,18.1820,28,0,0,1,0,0,0
CHILTON MEDICAL CENTER,NJ,READM-30-CABG-HRRP,N/A,N/A,N/A,N/A,0,0,0,0,1,0
CHILTON MEDICAL CENTER,NJ,READM-30-AMI-HRRP,0.8970,11.2024,12.4889,Too Few to Report,0,1,0,0,0,0
ST JOSEPH'S UNIVERSITY MEDICAL CENTER INC,NJ,READM-30-PN-HRRP,0.9669,17.4924,18.0905,93,0,0,0,1,0,0
ST JOSEPH'S UNIVERSITY MEDICAL CENTER INC,NJ,READM-30-HF-HRRP,1.0022,19.7664,19.7228,98,1,0,0,0,0,0
ST JOSEPH'S UNIVERSITY MEDICAL CENTER INC,NJ,READM-30-COPD-HRRP,0.9902,21.0010,21.2083,21,0,0,1,0,0,0
ST JOSEPH'S UNIVERSITY MEDICAL CENTER INC,NJ,READM-30-CABG-HRRP,1.0051,11.0054,10.9496,Too Few to Report,0,0,0,0,1,0
ST JOSEPH'S UNIVERSITY MEDICAL CENTER INC,NJ,READM-30-AMI-HRRP,1.0514,15.1501,14.4096,35,0,1,0,0,0,0
WEST JERSEY HOSPITAL,NJ,READM-30-PN-HRRP,1.0723,16.8865,15.7476,179,0,0,0,1,0,0
WEST JERSEY HOSPITAL,NJ,READM-30-HF-HRRP,1.0775,20.8565,19.3558,242,1,0,0,0,0,0
WEST JERSEY HOSPITAL,NJ,READM-30-COPD-HRRP,1.0672,20.1566,18.8873,98,0,0,1,0,0,0
WEST JERSEY HOSPITAL,NJ,READM-30-CABG-HRRP,N/A,N/A,N/A,N/A,0,0,0,0,1,0
WEST JERSEY HOSPITAL,NJ,READM-30-AMI-HRRP,1.0040,13.6320,13.5781,28,0,1,0,0,0,0
ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL AT RAHWAY,NJ,READM-30-PN-HRRP,1.0191,16.6829,16.3708,41,0,0,0,1,0,0
